Workload,Configuration Name,Execution Time (sec),Reference Result,Measured Result,Unit,SPEC Ratio,Weight,Notes
WPCstorage,,,,,,1.61,,
WPCstorage:3dsmax,DISK_VOLUME-D:,40.65,3299.42,7325.28,points,2.22,0.07,
WPCstorage:7zip,DISK_VOLUME-D:,66.21,431.06,205.33,points,0.48,0.07,
WPCstorage:ccx,DISK_VOLUME-D:,11.30,1398.45,2238.03,points,1.60,0.07,
WPCstorage:cfd,DISK_VOLUME-D:,11.98,1921.51,1880.03,points,0.98,0.07,
WPCstorage:energy,DISK_VOLUME-D:,21.29,1547.93,1416.59,points,0.92,0.07,
WPCstorage:handbrake,DISK_VOLUME-D:,14.76,1897.99,4551.07,points,2.40,0.07,
WPCstorage:icePack,DISK_VOLUME-D:,42.79,1543.34,2892.76,points,1.87,0.07,
WPCstorage:maya,DISK_VOLUME-D:,34.56,2037.06,5839.83,points,2.87,0.07,
WPCstorage:MayaVenice,DISK_VOLUME-D:,18.50,472.63,1842.16,points,3.90,0.07,
WPCstorage:MandE,DISK_VOLUME-D:,20.05,1625.72,2002.02,points,1.23,0.07,
WPCstorage:mcad,DISK_VOLUME-D:,47.43,2612.50,5570.32,points,2.13,0.07,
WPCstorage:mozillaVS,DISK_VOLUME-D:,28.52,7708.43,7216.93,points,0.94,0.07,
WPCstorage:namd,DISK_VOLUME-D:,14.79,1250.61,2815.64,points,2.25,0.07,
WPCstorage:proddev,DISK_VOLUME-D:,16.39,659.82,1270.46,points,1.93,0.07,
Vertical,,,,,,,
Productivity & Development,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Product Design,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Media & Entertainment,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Energy,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
AI & Machine Learning,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Life Sciences,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Financial Services,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Subsystem,,,,,,,
CPU,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Accelerator,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Graphics,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Storage,,,,,,1.61,,
