Workload,Configuration Name,Execution Time (sec),Reference Result,Measured Result,Unit,SPEC Ratio,Weight,Notes
WPCstorage,,,,,,0.87,,
WPCstorage:3dsmax,DISK_VOLUME-D:,49.34,3299.42,3830.61,points,1.16,0.07,
WPCstorage:7zip,DISK_VOLUME-D:,54.05,431.06,269.41,points,0.63,0.07,
WPCstorage:ccx,DISK_VOLUME-D:,11.31,1398.45,1617.79,points,1.16,0.07,
WPCstorage:cfd,DISK_VOLUME-D:,11.88,1921.51,1865.43,points,0.97,0.07,
WPCstorage:energy,DISK_VOLUME-D:,19.97,1547.93,1463.93,points,0.95,0.07,
WPCstorage:handbrake,DISK_VOLUME-D:,15.16,1897.99,1519.59,points,0.80,0.07,
WPCstorage:icePack,DISK_VOLUME-D:,61.45,1543.34,1204.05,points,0.78,0.07,
WPCstorage:maya,DISK_VOLUME-D:,51.38,2037.06,2199.46,points,1.08,0.07,
WPCstorage:MayaVenice,DISK_VOLUME-D:,35.73,472.63,387.02,points,0.82,0.07,
WPCstorage:MandE,DISK_VOLUME-D:,19.32,1625.72,1248.32,points,0.77,0.07,
WPCstorage:mcad,DISK_VOLUME-D:,65.82,2612.50,2449.87,points,0.94,0.07,
WPCstorage:mozillaVS,DISK_VOLUME-D:,27.64,7708.43,6662.79,points,0.86,0.07,
WPCstorage:namd,DISK_VOLUME-D:,17.38,1250.61,936.15,points,0.75,0.07,
WPCstorage:proddev,DISK_VOLUME-D:,18.71,659.82,479.71,points,0.73,0.07,
Vertical,,,,,,,
Productivity & Development,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Product Design,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Media & Entertainment,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Energy,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
AI & Machine Learning,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Life Sciences,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Financial Services,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Subsystem,,,,,,,
CPU,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Accelerator,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Graphics,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Storage,,,,,,0.87,,
