Workload,Configuration Name,Execution Time (sec),Reference Result,Measured Result,Unit,SPEC Ratio,Weight,Notes
WPCstorage,,,,,,0.51,,
WPCstorage:3dsmax,DISK_VOLUME-D:,100.97,3299.42,1819.48,points,0.55,0.07,
WPCstorage:7zip,DISK_VOLUME-D:,169.29,431.06,210.72,points,0.49,0.07,
WPCstorage:ccx,DISK_VOLUME-D:,11.32,1398.45,1454.95,points,1.04,0.07,
WPCstorage:cfd,DISK_VOLUME-D:,12.01,1921.51,1458.05,points,0.76,0.07,
WPCstorage:energy,DISK_VOLUME-D:,34.01,1547.93,845.28,points,0.55,0.07,
WPCstorage:handbrake,DISK_VOLUME-D:,24.00,1897.99,711.95,points,0.38,0.07,
WPCstorage:icePack,DISK_VOLUME-D:,115.66,1543.34,603.11,points,0.39,0.07,
WPCstorage:maya,DISK_VOLUME-D:,89.67,2037.06,1397.16,points,0.69,0.07,
WPCstorage:MayaVenice,DISK_VOLUME-D:,38.07,472.63,379.06,points,0.80,0.07,
WPCstorage:MandE,DISK_VOLUME-D:,38.94,1625.72,661.09,points,0.41,0.07,
WPCstorage:mcad,DISK_VOLUME-D:,147.76,2612.50,1064.42,points,0.41,0.07,
WPCstorage:mozillaVS,DISK_VOLUME-D:,67.67,7708.43,1342.04,points,0.17,0.07,
WPCstorage:namd,DISK_VOLUME-D:,22.21,1250.61,469.04,points,0.38,0.07,
WPCstorage:proddev,DISK_VOLUME-D:,18.60,659.82,464.25,points,0.70,0.07,
Vertical,,,,,,,
Productivity & Development,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Product Design,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Media & Entertainment,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Energy,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
AI & Machine Learning,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Life Sciences,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Financial Services,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Subsystem,,,,,,,
CPU,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Accelerator,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Graphics,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Storage,,,,,,0.51,,
