Workload,Configuration Name,Execution Time (sec),Reference Result,Measured Result,Unit,SPEC Ratio,Weight,Notes
WPCstorage,,,,,,0.55,,
WPCstorage:3dsmax,DISK_VOLUME-D:,86.14,3299.42,2163.99,points,0.66,0.07,
WPCstorage:7zip,DISK_VOLUME-D:,138.22,431.06,232.12,points,0.54,0.07,
WPCstorage:ccx,DISK_VOLUME-D:,11.61,1398.45,972.32,points,0.69,0.07,
WPCstorage:cfd,DISK_VOLUME-D:,12.03,1921.51,1711.28,points,0.89,0.07,
WPCstorage:energy,DISK_VOLUME-D:,30.08,1547.93,1026.04,points,0.66,0.07,
WPCstorage:handbrake,DISK_VOLUME-D:,19.94,1897.99,1149.99,points,0.61,0.07,
WPCstorage:icePack,DISK_VOLUME-D:,105.34,1543.34,685.64,points,0.44,0.07,
WPCstorage:maya,DISK_VOLUME-D:,78.04,2037.06,1620.15,points,0.80,0.07,
WPCstorage:MayaVenice,DISK_VOLUME-D:,37.39,472.63,388.26,points,0.82,0.07,
WPCstorage:MandE,DISK_VOLUME-D:,33.12,1625.72,942.47,points,0.58,0.07,
WPCstorage:mcad,DISK_VOLUME-D:,140.82,2612.50,1040.13,points,0.40,0.07,
WPCstorage:mozillaVS,DISK_VOLUME-D:,59.62,7708.43,1556.32,points,0.20,0.07,
WPCstorage:namd,DISK_VOLUME-D:,22.07,1250.61,495.41,points,0.40,0.07,
WPCstorage:proddev,DISK_VOLUME-D:,20.15,659.82,341.01,points,0.52,0.07,
Vertical,,,,,,,
Productivity & Development,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Product Design,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Media & Entertainment,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Energy,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
AI & Machine Learning,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Life Sciences,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Financial Services,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Subsystem,,,,,,,
CPU,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Accelerator,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Graphics,,,,,,N/A,,This category SPEC ratio was not calculated because all of its required workloads were not run or did not complete successfully.
Storage,,,,,,0.55,,
